209	720	18	130.19
2663	16	4	13.33
45	354	6	17.27
110	13996	3	18.74
3335	104	5	10.95
305	143	12	25.32
365	767	5	33.26
108	8487	3	13.97
207	4938	4	33.78
598	22156	3	45.24
285	141	6	4.71
3315	101	4	3.99
101	2646	6	7.56
220	194	4	4.39
731	374	22	212.87
2735	132	7	38.17
121	20854	4	36.86
12	4644	9	20.04
6611	103	5	16.42
1597	3864	4	52.15
102	6097	4	9.09
1435	12	15	14.32
5298	104	3	6.69
7338	12	5	10.47
10059	996	4	57.87
634	120	6	7.88
547	4849	10	133.3
102	1133	22	46.41
2014	138	3	10.03
59	5474	3	13.94
113	16013	5	41.22
148	299	9	16.07
1768	288	8	69.43
102	18525	3	13.86
125	2498	29	236.66
151	120	44	27.75
244	2268	3	19.59
782	574	9	80.6
103	2807	6	10.7
4781	14	7	10.16
218	286	3	5.13
129	1649	15	86.65
12	2062	17	29.89
103	951	8	4.17
1780	12	21	39.09
105	2840	14	67.14
157	4102	15	142.6
13	946	3	8.66
3187	204	3	20.24
105	856	53	260.54
2129	16	3	6.97
2549	131	5	22.7
12882	156	4	38.63
956	108	12	30.89
149	2072	3	11.71
8	20266	3	26.78
124	3519	3	11.65
121	2215	7	28.02
1922	175	3	15.1
12	21293	4	19.96
556	116	10	17.21
223	247	4	6.92
167	168	8	6.58
108	1421	14	51.82
509	135	13	41.06
9294	14	7	21.93
439	283	4	16.77
1223	130	4	10.43
110	17950	4	31.4
235	382	3	7.97
104	12876	4	20.79
102	12646	3	10.17
116	2835	4	12.94
118	4155	3	10.58
12669	12	3	7.08
1997	103	13	33
104	10398	3	11.54
184	11069	3	28.39
1961	108	4	7.79
15643	14	3	8.27
210	24803	3	38.34
8291	190	8	88.89
114	4418	3	9.94
105	10984	4	22.33
118	1449	5	12.05
2237	155	3	13.2
143	125	35	15.24
140	4142	5	29.7
120	3664	4	15.82
672	6172	3	34.92
22981	14	4	18.28
1587	116	3	4.82
573	114	15	33.35
374	456	3	13.71
106	8024	7	44.18
919	111	6	8.57
6128	14	11	33.24
109	3667	12	66.58
1751	103	9	14.55
3803	14	8	9.94
224	682	13	86.09
165	138	32	50.88
132	122	112	148.79
111	820	109	786.74
105	27102	3	22.97
225	5625	5	47.35
229	12	224	332.94
135	3583	3	13.31
116	17296	4	31.33
7684	103	3	8.02
105	9702	4	20.74
140	6873	4	26.9
400	2992	3	26.31
8	11767	5	42
15487	157	6	70.82
558	395	16	136.17
3300	14	23	70.82
12	12801	3	7.74
172	2420	4	24.09
619	119	32	135.81
119	436	18	42.94
175	346	10	36.68
4257	104	6	18.37
296	21	12	30.24
3328	112	3	7.75
5214	1354	3	38.4
494	356	3	13.74
256	111	25	27.34
134	3988	4	20.8
163	228	17	47.39
125	15045	7	71.7
111	1977	10	38.33
1013	138	8	30.87
4162	101	6	12.49
11962	13	7	77.33
1799	271	3	19.36
4935	198	4	33.12
2454	16	3	7.92
101	6118	7	23.11
2109	12	8	4.94
102	5003	5	11.28
101	1114	34	94.42
3661	185	4	28.97
186	601	7	31.19
7950	12	4	7.51
9	291	13	19.96
633	108	9	11.87
103	684	18	19.89
158	238	6	6.01
9	2759	3	10.55
17476	198	6	84.52
206	12476	3	30.49
101	3837	17	70.43
129	5336	4	22.65
125	1993	21	142.17
1063	108	16	53.7
6016	104	4	12.36
461	120	10	15.38
101	35243	3	21.64
180	182	6	5.45
2149	14	27	64.62
13979	12	5	20.78
7552	105	3	11.54
4085	19334	3	56.23
105	2058	15	62.62
11179	103	3	10.73
312	215	3	5.69
129	753	16	67.19
157	2246	4	20.59
189	2768	3	18.38
8924	14	8	26.41
1920	788	3	28.07
209	2771	3	19.58
751	120	5	6.65
10086	171	5	49.97
8043	374	7	90.56
4431	101	4	6.07
106	571	57	256.06
110	2083	3	5.1
11204	14576	3	61.89
672	330	3	15.13
738	122	7	13.99
1103	409	22	239.38
594	106	59	274.44
119	5180	3	12.29
3979	131	3	13.39
101	8753	3	7.29
105	10272	3	14.14
120	2823	9	45.51
266	632	3	12.55
234	1970	3	18.4
175	145	15	15.12
142	484	39	211.22
9118	101	3	7.7
1218	178	3	12.64
437	6998	4	46.48
119	2856	3	8.48
294	453	3	11.48
118	2980	8	38.13
117	1676	4	8.96
1578	103	7	7.38
3626	14	7	6.68
3124	18108	6	125.99
2138	110	3	5.23
3163	112	7	28.75
106	754	45	210.68
106	2975	3	6.61
265	21487	4	55.19
9962	14	7	23.28
538	12	30	13.08
109	1865	3	4.29
133	250	9	7.14
171	35754	3	40.36
22795	14	3	10.87
259	114	37	69.7
1278	116	3	3.85
102	13209	3	10.88
616	106	6	4.11
1632	108	4	6.58
3112	104	4	6.75
9475	14	10	41.63
5702	131	4	23.69
5987	14	15	56.15
1100	111	6	10.68
119	3997	4	16.24
327	138	7	8.9
333	1366	8	69.03
235	122	39	86.51
146	278	7	7.56
115	260	14	7.68
13480	103	3	12.08
4885	110	6	28.85
14864	151	3	26.93
676	145	8	26.62
640	12	34	29.26
111	8103	6	37.51
5165	108	8	43.59
1871	104	5	5.82
538	137	4	5.36
502	16	6	5.53
162	5165	3	20.16
1662	227	5	33.33
116	17043	5	42.71
12688	14	3	5.95
5752	12	5	7.9
882	14	33	34.37
36544	103	3	23.28
